0,1e-06
1,0
2,0
3,1e-06
4,0
5,0
6,0
7,0
8,1e-06
9,1e-06
10,1e-06
11,1e-06
12,2e-06
13,3e-06
14,4e-06
15,6e-06
16,1.8e-05
17,1.4e-05
18,2.2e-05
19,3.6e-05
20,5.8e-05
21,9.4e-05
22,0.000152
23,0.000245
24,0.000397
25,0.000643
26,0.001047
27,0.001698
28,0.002756
29,0.00459
30,0.006943
31,0.011949
32,0.019862
33,0.032866
34,0.050552
